lesson,question,answer
1,Me llamo Jess.,"Ah, te llamas Jess. ¡Mucho gusto!  ¿Cómo te va?"
1,Te llamo Jess.,"Ah, tu nombre es Jess. ¡Encantado de conocerte!  ¿Cómo te va?"
1,Llamo Jess.,"Ah, eres Jess. ¡Un placer conocerte!  ¿Cómo te va?"
1,Me llamas Jess.,"Ah, te llamas Jess. ¡Es un placer!  ¿Cómo te va?"
1,Me soy Jess.,"Ah, ¿así que eres Jess? ¡Encantado!  ¿Cómo te va?"
1,Me me llamo Jess.,"Ah, te llamas Mike. ¡Mucho gusto! ¿Cómo te va?"
1,"Bien, gracias. ¿Y a ti?",Muy bien. Vivo en la Ciudad de México. ¿De dónde eres tú?
1,"Bien, gracias. ¿Y en ti?",Estoy genial. Soy de la Ciudad de México. ¿De dónde eres tú?
1,"Bien, gracias. ¿Y ti?","Me encuentro muy bien. Vengo de la Ciudad de México. ¿Y tú, de dónde eres?"
1,"Bien, gracias. ¿Y a tú?",Estoy excelente. Nací en la Ciudad de México. ¿Tú de dónde vienes?
1,"Bien gracias, ¿y a ti?",Todo va de maravilla. Mi ciudad es la Ciudad de México. ¿Cuál es tu lugar de origen?
1,"¿Y a ti? Bien, gracias.",Me siento estupendo. La Ciudad de México es mi hogar. ¿De qué lugar eres?
1,Soy de Pennsylvania.,Eres de Pennsylvania. Es un lugar hermoso.
1,Son de Pennsylvania.,Viene de Pennsylvania. Realmente es un sitio precioso.
1,Estoy de Pennsylvania.,Tú eres originario de Pennsylvania. Es una región bella.
lesson,question,answer
1,Soy Pennsylvania.,Procedes de Pennsylvania. Es un sitio de gran belleza.
1,Soy de de Roma.,Tú vienes de Roma. Realmente es un lugar encantador.
1,Soy del China.,"Oh, eres de China. Es un lugar hermoso."
2,"Sí, quisiera un café, por favor.","Entiendo, un café. ¿Te gustaría llevarte dos con un 50% de descuento en el segundo?"
2,"Sí, quiso un café, por favor.","Comprendo, un café. ¿Quieres dos y el segundo a mitad de precio?"
2,"Sí, quisiera una café, por favor.","Entendido, un café. ¿Te interesa un segundo café con 50% de descuento?"
2,"Sí, quisiera café, por favor.","Vale, un café. ¿Cómo ves si llevas otro café con el 50% rebajado?"
2,"Sí, quisiera un por favor café.","Ok, un café. ¿Te gustaría otro café con el segundo a la mitad de su precio?"
2,"Sí, quiero un café, por favor.","Captado, un café. ¿Quieres aprovechar una oferta del 50% de descuento en el segundo café?"
2,"Sí, quisiera dos cafés, por favor.",Aquí tienes tus dos cafés. Tu total es de 2 pesos. ¿Vas a usar tarjeta de crédito?
2,"Sí, quiso dos cafés, por favor.",Aquí están tus dos cafés. Son 2 pesos en total. ¿Pagarás con tarjeta?
2,"Sí, quisiera dos café, por favor.",Te presento tus dos cafés. Debes 2 pesos. ¿Usarás crédito?
2,Sí quisiera dos cafés por favor.,Tienes tus dos cafés aquí. El costo es de 2 pesos. ¿Con tarjeta?
2,"Sí, quiero dos cafés, por favor.",He aquí tus dos cafés. La cuenta es de 2 pesos. ¿Deseas usar tarjeta de crédito?
2,"Sí, por favor quisiera dos cafés.","Tus dos cafés, aquí los tienes. Serán 2 pesos. ¿Vas a pagar con tarjeta?"
2,"Sí, aquí tienes mi tarjeta de crédito.",Gracias. Hasta pronto.
2,"Sí, aquí tiene mi tarjeta de crédito.",Gracias. Nos vemos.
2,"Sí, aquí por tienes mi tarjeta de crédito.",Te agradezco. ¡Hasta la próxima!
2,"Sí, aquí tarjeta de crédito tienes mi.",Mil gracias. Hasta luego.
2,"Sí, aquí tienes tarjeta de crédito.",Agradezco mucho. Hasta muy pronto.
2,"Sí, aquí tienes tarjeta de crédito.",Te doy las gracias. ¡Nos vemos pronto!
